login,password,email,display_name,groups,subadmin_groups,quota,manager
s277,Leti2026!!,s277@stud.etu.ru,Student 277,"students,3383",,1 GB,t12
s278,Leti2026!!,s278@stud.etu.ru,Student 278,"students,3383",,1 GB,t12
s279,Leti2026!!,s279@stud.etu.ru,Student 279,"students,3383",,1 GB,t12
s280,Leti2026!!,s280@stud.etu.ru,Student 280,"students,3383",,1 GB,t12
s281,Leti2026!!,s281@stud.etu.ru,Student 281,"students,2381",,1 GB,t13
s282,Leti2026!!,s282@stud.etu.ru,Student 282,"students,2381",,1 GB,t13
s283,Leti2026!!,s283@stud.etu.ru,Student 283,"students,2381",,1 GB,t13
s284,Leti2026!!,s284@stud.etu.ru,Student 284,"students,2381",,1 GB,t13
s285,Leti2026!!,s285@stud.etu.ru,Student 285,"students,2381",,1 GB,t13
s286,Leti2026!!,s286@stud.etu.ru,Student 286,"students,2381",,1 GB,t13
s287,Leti2026!!,s287@stud.etu.ru,Student 287,"students,2381",,1 GB,t13
s288,Leti2026!!,s288@stud.etu.ru,Student 288,"students,2381",,1 GB,t13
s289,Leti2026!!,s289@stud.etu.ru,Student 289,"students,2381",,1 GB,t13
s290,Leti2026!!,s290@stud.etu.ru,Student 290,"students,2381",,1 GB,t13
s291,Leti2026!!,s291@stud.etu.ru,Student 291,"students,2381",,1 GB,t13
s292,Leti2026!!,s292@stud.etu.ru,Student 292,"students,2381",,1 GB,t13
s293,Leti2026!!,s293@stud.etu.ru,Student 293,"students,2381",,1 GB,t13
s294,Leti2026!!,s294@stud.etu.ru,Student 294,"students,2381",,1 GB,t13
s295,Leti2026!!,s295@stud.etu.ru,Student 295,"students,2381",,1 GB,t13
s296,Leti2026!!,s296@stud.etu.ru,Student 296,"students,2381",,1 GB,t13
s297,Leti2026!!,s297@stud.etu.ru,Student 297,"students,2381",,1 GB,t13
s298,Leti2026!!,s298@stud.etu.ru,Student 298,"students,2381",,1 GB,t13
s299,Leti2026!!,s299@stud.etu.ru,Student 299,"students,2381",,1 GB,t13
s300,Leti2026!!,s300@stud.etu.ru,Student 300,"students,2381",,1 GB,t13
s301,Leti2026!!,s301@stud.etu.ru,Student 301,"students,2381",,1 GB,t13
s302,Leti2026!!,s302@stud.etu.ru,Student 302,"students,2381",,1 GB,t13
s303,Leti2026!!,s303@stud.etu.ru,Student 303,"students,2381",,1 GB,t13
s304,Leti2026!!,s304@stud.etu.ru,Student 304,"students,2381",,1 GB,t13
s305,Leti2026!!,s305@stud.etu.ru,Student 305,"students,2382",,1 GB,t14
s306,Leti2026!!,s306@stud.etu.ru,Student 306,"students,2382",,1 GB,t14
s307,Leti2026!!,s307@stud.etu.ru,Student 307,"students,2382",,1 GB,t14
s308,Leti2026!!,s308@stud.etu.ru,Student 308,"students,2382",,1 GB,t14
s309,Leti2026!!,s309@stud.etu.ru,Student 309,"students,2382",,1 GB,t14
s310,Leti2026!!,s310@stud.etu.ru,Student 310,"students,2382",,1 GB,t14
s311,Leti2026!!,s311@stud.etu.ru,Student 311,"students,2382",,1 GB,t14
s312,Leti2026!!,s312@stud.etu.ru,Student 312,"students,2382",,1 GB,t14
s313,Leti2026!!,s313@stud.etu.ru,Student 313,"students,2382",,1 GB,t14
s314,Leti2026!!,s314@stud.etu.ru,Student 314,"students,2382",,1 GB,t14
s315,Leti2026!!,s315@stud.etu.ru,Student 315,"students,2382",,1 GB,t14
s316,Leti2026!!,s316@stud.etu.ru,Student 316,"students,2382",,1 GB,t14
s317,Leti2026!!,s317@stud.etu.ru,Student 317,"students,2382",,1 GB,t14
s318,Leti2026!!,s318@stud.etu.ru,Student 318,"students,2382",,1 GB,t14
s319,Leti2026!!,s319@stud.etu.ru,Student 319,"students,2382",,1 GB,t14
s320,Leti2026!!,s320@stud.etu.ru,Student 320,"students,2382",,1 GB,t14
s321,Leti2026!!,s321@stud.etu.ru,Student 321,"students,2382",,1 GB,t14
s322,Leti2026!!,s322@stud.etu.ru,Student 322,"students,2382",,1 GB,t14
s323,Leti2026!!,s323@stud.etu.ru,Student 323,"students,2382",,1 GB,t14
s324,Leti2026!!,s324@stud.etu.ru,Student 324,"students,2382",,1 GB,t14
s325,Leti2026!!,s325@stud.etu.ru,Student 325,"students,2382",,1 GB,t14
s326,Leti2026!!,s326@stud.etu.ru,Student 326,"students,2382",,1 GB,t14
s327,Leti2026!!,s327@stud.etu.ru,Student 327,"students,2382",,1 GB,t14
s328,Leti2026!!,s328@stud.etu.ru,Student 328,"students,2383",,1 GB,t15
s329,Leti2026!!,s329@stud.etu.ru,Student 329,"students,2383",,1 GB,t15
s330,Leti2026!!,s330@stud.etu.ru,Student 330,"students,2383",,1 GB,t15
s331,Leti2026!!,s331@stud.etu.ru,Student 331,"students,2383",,1 GB,t15
s332,Leti2026!!,s332@stud.etu.ru,Student 332,"students,2383",,1 GB,t15
s333,Leti2026!!,s333@stud.etu.ru,Student 333,"students,2383",,1 GB,t15
s334,Leti2026!!,s334@stud.etu.ru,Student 334,"students,2383",,1 GB,t15
s335,Leti2026!!,s335@stud.etu.ru,Student 335,"students,2383",,1 GB,t15
s336,Leti2026!!,s336@stud.etu.ru,Student 336,"students,2383",,1 GB,t15
s337,Leti2026!!,s337@stud.etu.ru,Student 337,"students,2383",,1 GB,t15
s338,Leti2026!!,s338@stud.etu.ru,Student 338,"students,2383",,1 GB,t15
s339,Leti2026!!,s339@stud.etu.ru,Student 339,"students,2383",,1 GB,t15
s340,Leti2026!!,s340@stud.etu.ru,Student 340,"students,2383",,1 GB,t15
s341,Leti2026!!,s341@stud.etu.ru,Student 341,"students,2383",,1 GB,t15
s342,Leti2026!!,s342@stud.etu.ru,Student 342,"students,2383",,1 GB,t15
s343,Leti2026!!,s343@stud.etu.ru,Student 343,"students,2383",,1 GB,t15
s344,Leti2026!!,s344@stud.etu.ru,Student 344,"students,2383",,1 GB,t15
s345,Leti2026!!,s345@stud.etu.ru,Student 345,"students,2383",,1 GB,t15
s346,Leti2026!!,s346@stud.etu.ru,Student 346,"students,2383",,1 GB,t15
s347,Leti2026!!,s347@stud.etu.ru,Student 347,"students,2383",,1 GB,t15
s348,Leti2026!!,s348@stud.etu.ru,Student 348,"students,2383",,1 GB,t15
s349,Leti2026!!,s349@stud.etu.ru,Student 349,"students,2383",,1 GB,t15
s350,Leti2026!!,s350@stud.etu.ru,Student 350,"students,2383",,1 GB,t15
